"cohort","membership_age","num_active","num_users","membership_age_in_breach","activity_name"
15,0,239,1437,12,"Deleted Photos"
15,1,186,1437,12,"Deleted Photos"
15,2,114,1437,12,"Deleted Photos"
15,3,92,1437,12,"Deleted Photos"
15,4,60,1437,12,"Deleted Photos"
15,5,62,1437,12,"Deleted Photos"
15,6,47,1437,12,"Deleted Photos"
15,7,48,1437,12,"Deleted Photos"
15,8,37,1437,12,"Deleted Photos"
15,9,31,1437,12,"Deleted Photos"
15,10,29,1437,12,"Deleted Photos"
15,11,29,1437,12,"Deleted Photos"
15,12,79,1437,12,"Deleted Photos"
15,13,15,1437,12,"Deleted Photos"
15,14,12,1437,12,"Deleted Photos"
16,0,390,1854,11,"Deleted Photos"
16,1,299,1854,11,"Deleted Photos"
16,2,165,1854,11,"Deleted Photos"
16,3,127,1854,11,"Deleted Photos"
16,4,134,1854,11,"Deleted Photos"
16,5,96,1854,11,"Deleted Photos"
16,6,94,1854,11,"Deleted Photos"
16,7,62,1854,11,"Deleted Photos"
16,8,76,1854,11,"Deleted Photos"
16,9,59,1854,11,"Deleted Photos"
16,10,57,1854,11,"Deleted Photos"
16,11,114,1854,11,"Deleted Photos"
16,12,51,1854,11,"Deleted Photos"
16,13,32,1854,11,"Deleted Photos"
17,0,323,1662,10,"Deleted Photos"
17,1,243,1662,10,"Deleted Photos"
17,2,163,1662,10,"Deleted Photos"
17,3,72,1662,10,"Deleted Photos"
17,4,99,1662,10,"Deleted Photos"
17,5,64,1662,10,"Deleted Photos"
17,6,46,1662,10,"Deleted Photos"
17,7,74,1662,10,"Deleted Photos"
17,8,55,1662,10,"Deleted Photos"
17,9,62,1662,10,"Deleted Photos"
17,10,94,1662,10,"Deleted Photos"
17,11,40,1662,10,"Deleted Photos"
17,12,25,1662,10,"Deleted Photos"
18,0,257,1381,9,"Deleted Photos"
18,1,214,1381,9,"Deleted Photos"
18,2,154,1381,9,"Deleted Photos"
18,3,114,1381,9,"Deleted Photos"
18,4,73,1381,9,"Deleted Photos"
18,5,58,1381,9,"Deleted Photos"
18,6,43,1381,9,"Deleted Photos"
18,7,51,1381,9,"Deleted Photos"
18,8,38,1381,9,"Deleted Photos"
18,9,88,1381,9,"Deleted Photos"
18,10,50,1381,9,"Deleted Photos"
18,11,26,1381,9,"Deleted Photos"
19,0,366,2241,8,"Deleted Photos"
19,1,434,2241,8,"Deleted Photos"
19,2,214,2241,8,"Deleted Photos"
19,3,145,2241,8,"Deleted Photos"
19,4,102,2241,8,"Deleted Photos"
19,5,100,2241,8,"Deleted Photos"
19,6,110,2241,8,"Deleted Photos"
19,7,89,2241,8,"Deleted Photos"
19,8,135,2241,8,"Deleted Photos"
19,9,47,2241,8,"Deleted Photos"
19,10,35,2241,8,"Deleted Photos"
20,0,375,1745,7,"Deleted Photos"
20,1,262,1745,7,"Deleted Photos"
20,2,153,1745,7,"Deleted Photos"
20,3,108,1745,7,"Deleted Photos"
20,4,108,1745,7,"Deleted Photos"
20,5,95,1745,7,"Deleted Photos"
20,6,85,1745,7,"Deleted Photos"
20,7,118,1745,7,"Deleted Photos"
20,8,43,1745,7,"Deleted Photos"
20,9,39,1745,7,"Deleted Photos"
21,0,257,1471,6,"Deleted Photos"
21,1,264,1471,6,"Deleted Photos"
21,2,134,1471,6,"Deleted Photos"
21,3,106,1471,6,"Deleted Photos"
21,4,92,1471,6,"Deleted Photos"
21,5,84,1471,6,"Deleted Photos"
21,6,111,1471,6,"Deleted Photos"
21,7,49,1471,6,"Deleted Photos"
21,8,36,1471,6,"Deleted Photos"
22,0,271,1488,5,"Deleted Photos"
22,1,257,1488,5,"Deleted Photos"
22,2,128,1488,5,"Deleted Photos"
22,3,122,1488,5,"Deleted Photos"
